Tweet,Lemmatized_Tokens
Μέρος του υπερπλεονάσματος για το μεταναστευτικό – Τι σχεδιάζει η…,"['μέρος', 'υπερπλεονάσματο', 'μεταναστευτικό', 'σχεδιάζω']"
"ψάξτε βρήκε προβάλετε success story με ""μετανάστες""  βάλτε και λίγο σάλτσα και σερβίρετε στο πόπολο","['ψάξτε', 'βρήκε', 'προβάλω', 'μετανάστες', 'βάλτε', 'λίγο', 'σάλτσα', 'σερβίρω', 'πόπολος', 'επιτυχία']"
"Ο κανονικός τίτλος έπρεπε να είναι ""Αφγανή πρόσφυγας ζωγραφίζει πατρόν""","['κανονικός', 'τίτλος', 'έπρεπε', 'είναι', 'αφγανός', 'πρόσφυγας', 'ζωγραφίζω', 'πατρόν']"
RT @alopeki: εντολή προς ΑΜΕ ΑΠΕ,"['εντολή', 'αμε', 'απε']"
Ο πραγματικος λογος:Χάνουν τα εξτραδακια οι επιχειρησεις εστιασης και τα λεφτα των μισθωσεων ξενοδοχειων κλ ακινήτων που ειναι πολλά.Στα τακουνια τους όλα τα αλλα.,"['πραγματικος', 'λογοςχάνω', 'εξτραδακιας', 'επιχειρησει', 'εστιαση', 'λεφτο', 'μισθωσεα', 'ξενοδοχειος', 'ακινήτα', 'ειναι', 'πολλάστα', 'τακουνι', 'όλος', 'αλλα']"
RT @MariaDecokeke: Ο πραγματικος λογος:Χάνουν τα εξτραδακια οι επιχειρησεις εστιασης και τα λεφτα των μισθωσεων ξενοδοχειων κλ ακινήτων που…,"['πραγματικος', 'λογοςχάνω', 'εξτραδακιας', 'επιχειρησει', 'εστιαση', 'λεφτο', 'μισθωσεα', 'ξενοδοχειος', 'ακινήτα', 'που', '…']"
"Φανταστείτε να έλεγε αναρχικός ότι σε περίπτωση που οι φασίστες - παραδείγματος χάριν - τον απειλήσουν, θα τραβήξει όπλα για αυτοάμυνα.","['φανταστείτε', 'έλεγε', 'αναρχικός', 'περίπτωση', 'φασίστες', 'παραδείγματο', 'χάριν', 'απειλήσω', 'τραβήξω', 'όπλος', 'αυτοάμυνα']"
Σίγουρη φυλακή. Και συνθήματα περί τρομοκρατίας.,"['σίγουρη', 'φυλακός', 'συνθήμαα', 'τρομοκρατία']"
Αν τα λέει όμως Έλληνας μπατριώτης. Τον βγάζουν και στον Παπαδάκη να μιλάει με πολιτικούς,"['λέω', 'Έλληνας', 'μπατριώτη', 'βγάζω', 'στον', 'παπαδάκη', 'μιλώ', 'πολιτικού']"
"RT @DelgadoSero: Φανταστείτε να έλεγε αναρχικός ότι σε περίπτωση που οι φασίστες - παραδείγματος χάριν - τον απειλήσουν, θα τραβήξει όπλα γ…","['φανταστείτε', 'έλεγε', 'αναρχικός', 'περίπτωση', 'φασίστες', 'παραδείγματο', 'χάριν', 'απειλήσω', 'τραβήξω', 'όπλο']"
@GKoumoutsakos @kmitsotakis @GiuseppeConteIT Κύριε κουμουτσάκο ίσως θα έπρεπε να μεταφέρετε στην κυβέρνησή σας τη δυσαρέσκεια των ψηφοφόρων δεν λέω του λαού λέω των ψηφοφόρων είμαστε πάρα πολύ δυσαρεστημένοι μπορεί όλα να τα κάνετε καλά στο μεταναστευτικό όμως παίρνετε 0 με τόνο. Μας κάψατε. Μας τελειώσατε.,"['κύριε', 'κουμουτσάκο', 'έπρεπε', 'μεταφέρω', 'κυβέρνησή', 'δυσαρέσκεια', 'ψηφοφόρος', 'λέω', 'λαός', 'λέω', 'ψηφοφόρο', 'πάρα', 'δυσαρεστημένοι', 'όλος', 'κάνω', 'στο', 'μεταναστευτικό', 'παίρνω', 'τόνο', 'κάψατε', 'τελειώσατε', 'μηδέν']"
RT @pekrameneapoola: @GKoumoutsakos @kmitsotakis @GiuseppeConteIT Κύριε κουμουτσάκο ίσως θα έπρεπε να μεταφέρετε στην κυβέρνησή σας τη δυσα…,"['κύριε', 'κουμουτσάκο', 'έπρεπε', 'μεταφέρω', 'κυβέρνησή', 'δυσος', '…']"
"Στο μεταναστευτικό ο ΣΥΡΙΖΑ είχε πολιτική “ανοικτών συνόρων”, αργές διαδικασίες ασύλου και ελάχιστες επιστροφές. Αντίθετα η ΝΔ κωδικοποίησε τη νομοθεσία, επιτάχυνε διαδικασίες ασύλου και επιστροφές και δείχνει ισχυρή βούληση για τη φύλαξη των συνόρων! 📻 @kanaliena904","['μεταναστευτικό', 'συριζας', 'πολιτική', '""', 'ανοικτής', 'συνόρο', '""', 'αργή', 'διαδικασία', 'ασύλο', 'ελάχιστες', 'επιστροφή', 'αντίθετα', 'κωδικοποίησε', 'νομοθεσία', 'επιτάχυνε', 'διαδικασία', 'ασύλο', 'επιστροφές', 'δείχνω', 'ισχυρός', 'βούληση', 'φύλαξη', 'συνόρο', 'and', 'ραδιόφωνο']"
"RT @vozemberg: Στο μεταναστευτικό ο ΣΥΡΙΖΑ είχε πολιτική “ανοικτών συνόρων”, αργές διαδικασίες ασύλου και ελάχιστες επιστροφές. Αντίθετα η…","['στο', 'μεταναστευτικό', 'συριζας', 'πολιτική', '""', 'ανοικτής', 'συνόρο', '""', 'αργή', 'διαδικασία', 'ασύλο', 'ελάχιστες', 'επιστροφή', 'αντίθετα']"
Αν αδυνατείτε να πιστέψετε όλα αυτά τα ξεφτιλίκια που κάνει στο μεταναστευτικό και στην δημόσια διοίκηση η #ΝΔ_no_borders θυμηθείτε ότι πρώτοι σε σταυρούς βγαίνουν κάτι βαρβιτσιώτηδες και κεφαλογιαννες. Ένα σάπιο κόμμα που θα έπρεπε να έχει παρόμοια τύχη με το ΠΑΣΟΚ.,"['αδυνατείτε', 'πιστέψω', 'αυτά', 'ξεφτιλίκι', 'κάνω', 'μεταναστευτικό', 'στην', 'δημόσιος', 'διοίκηση', 'νδno', 'θυμηθείτε', 'πρώτοι', 'σταυρού', 'βγαίνω', 'βαρβιτσιώτηδες', 'κεφαλογιαννες', 'σάπιος', 'κόμμα', 'έπρεπε', 'έχω', 'παρόμοιος', 'τύχη', 'πασοκ', 'σύνορο']"
RT @roman_evzon: Αν αδυνατείτε να πιστέψετε όλα αυτά τα ξεφτιλίκια που κάνει στο μεταναστευτικό και στην δημόσια διοίκηση η #ΝΔ_no_borders…,"['αδυνατείτε', 'πιστέψω', 'αυτά', 'ξεφτιλίκι', 'κάνω', 'μεταναστευτικό', 'στην', 'δημόσιος', 'διοίκηση', 'νδno', 'σύνορο']"
"Καιρίδης: ""Αν αποτύχουν τα σχέδια για το προσφυγικό τα ξερονήσια θα φαντάζουν Πολυάννα""","['καιρίδης', 'αποτύχω', 'σχέδιο', 'προσφυγικό', 'ξερονήσι', 'φαντάζω', 'πολυάννα']"
